Sonde,Date (MM/DD/YYYY),Time (HH:mm:ss),Site Name,Depth_m,DO_sat,DO_mgL,SPC,Turb_FNU,ph,ph_mv,TempC,Battery_V,Pressure_psi,VertPosit_m
21L101262,4/13/2022,18:00:00,TuleRed_Breach,1.047,100.8,9.85,10860.4,109.59,7.49,-41.8,14.712,5.92,,
21L101262,4/13/2022,18:15:00,TuleRed_Breach,1.019,100.7,9.83,11024.1,118.16,7.47,-40.9,14.715,5.92,,
21L101262,4/13/2022,18:30:00,TuleRed_Breach,1,100.3,9.78,11196.4,108.08,7.46,-40.1,14.693,5.92,,
21L101262,4/13/2022,18:45:00,TuleRed_Breach,0.983,99.7,9.73,11332.5,133.63,7.43,-38.6,14.672,5.92,,
21L101262,4/13/2022,19:00:00,TuleRed_Breach,0.967,99.4,9.7,11333.7,118.15,7.43,-38.5,14.635,5.92,,
21L101262,4/13/2022,19:15:00,TuleRed_Breach,0.956,98.5,9.63,11423.7,783.91,7.43,-38.6,14.571,5.92,,
21L101262,4/13/2022,19:30:00,TuleRed_Breach,0.952,84.3,8.3,9542,182.32,7.48,-41.6,14.587,5.92,,
21L101262,4/13/2022,19:45:00,TuleRed_Breach,0.944,61,6.01,9563.1,89.68,7.47,-40.6,14.577,5.92,,
21L101262,4/13/2022,20:00:00,TuleRed_Breach,0.937,39.4,3.87,10414.5,83.69,7.42,-38.2,14.519,5.91,,
21L101262,4/13/2022,20:15:00,TuleRed_Breach,0.933,28.9,2.84,10897.2,95.42,7.41,-37.3,14.467,5.92,,
21L101262,4/13/2022,20:30:00,TuleRed_Breach,0.936,19.1,1.88,11358.9,319.02,7.39,-36.5,14.381,5.91,,
21L101262,4/13/2022,20:45:00,TuleRed_Breach,0.963,21.8,2.14,11405.9,178.9,7.38,-36.1,14.257,5.92,,
21L101262,4/13/2022,21:00:00,TuleRed_Breach,1.01,60,6.1,11031.9,220.62,7.39,-36.5,12.871,5.92,,
21L101262,4/13/2022,21:15:00,TuleRed_Breach,1.111,90.8,9.19,9665.5,834.69,7.61,-48.4,13.259,5.91,,
21L101262,4/13/2022,21:30:00,TuleRed_Breach,1.227,94.4,9.49,9983.8,538.95,7.66,-51.3,13.546,5.91,,
21L101262,4/13/2022,21:45:00,TuleRed_Breach,1.338,94.4,9.51,10329.5,449.11,7.67,-51.4,13.389,5.91,,
21L101262,4/13/2022,22:00:00,TuleRed_Breach,1.434,94.5,9.58,10038,417.75,7.69,-52.6,13.143,5.91,,
21L101262,4/13/2022,22:15:00,TuleRed_Breach,1.522,94.5,9.59,10198,415.65,7.69,-52.7,13.099,5.92,,
21L101262,4/13/2022,22:30:00,TuleRed_Breach,1.619,94.4,9.58,10197.4,391.41,7.7,-52.9,13.11,5.91,,
21L101262,4/13/2022,22:45:00,TuleRed_Breach,1.701,94.5,9.58,10094.2,367.13,7.7,-53,13.137,5.91,,
21L101262,4/13/2022,23:00:00,TuleRed_Breach,1.787,94.5,9.58,10195.3,339.63,7.7,-52.9,13.135,5.91,,
21L101262,4/13/2022,23:15:00,TuleRed_Breach,1.852,94.3,9.59,10149.3,335.27,7.7,-53.4,13.001,5.91,,
21L101262,4/13/2022,23:30:00,TuleRed_Breach,1.921,94.5,9.62,9934.2,324.78,7.7,-53.4,12.972,5.92,,
21L101262,4/13/2022,23:45:00,TuleRed_Breach,1.978,94.3,9.61,9924.6,310.91,7.71,-53.4,12.947,5.91,,
21L101262,4/14/2022,0:00:00,TuleRed_Breach,2.034,94.6,9.66,9804.8,299.59,7.71,-53.8,12.884,5.91,,
21L101262,4/14/2022,0:15:00,TuleRed_Breach,2.085,94.7,9.58,10380.1,273.7,7.71,-53.6,13.19,5.91,,
21L101262,4/14/2022,0:30:00,TuleRed_Breach,2.12,94.9,9.58,10401.6,269.03,7.71,-53.8,13.237,5.91,,
21L101262,4/14/2022,0:45:00,TuleRed_Breach,2.148,94.8,9.61,10030.9,267.01,7.73,-54.6,13.132,5.92,,
21L101262,4/14/2022,1:00:00,TuleRed_Breach,2.149,94.8,9.63,9984,260.31,7.74,-55.3,13.04,5.91,,
21L101262,4/14/2022,1:15:00,TuleRed_Breach,2.165,94.7,9.62,9915,261.85,7.74,-55.6,13.093,5.91,,
21L101262,4/14/2022,1:30:00,TuleRed_Breach,2.178,94.6,9.58,9974,265.41,7.74,-55.5,13.206,5.91,,
21L101262,4/14/2022,1:45:00,TuleRed_Breach,2.181,94.7,9.64,9752.9,284.29,7.76,-56.5,13.019,5.91,,
21L101262,4/14/2022,2:00:00,TuleRed_Breach,2.174,94.7,9.67,9552.7,343.88,7.77,-57.1,12.932,5.91,,
21L101262,4/14/2022,2:15:00,TuleRed_Breach,2.156,94.3,9.64,9650,358.4,7.76,-56.6,12.834,5.9,,
21L101262,4/14/2022,2:30:00,TuleRed_Breach,2.128,94.4,9.64,9727.4,415.61,7.77,-56.8,12.876,5.91,,
21L101262,4/14/2022,2:45:00,TuleRed_Breach,2.079,94.4,9.62,9765.2,294.53,7.76,-56.4,12.959,5.91,,
21L101262,4/14/2022,3:00:00,TuleRed_Breach,2.028,94.2,9.59,9978.2,245.75,7.74,-55.5,12.956,5.91,,
21L101262,4/14/2022,3:15:00,TuleRed_Breach,1.966,94.1,9.57,10337.5,172.1,7.72,-54.5,12.934,5.91,,
21L101262,4/14/2022,3:30:00,TuleRed_Breach,1.914,94,9.56,10492,151.6,7.72,-54.1,12.924,5.9,,
21L101262,4/14/2022,3:45:00,TuleRed_Breach,1.835,93.8,9.55,10466.1,137,7.71,-53.9,12.917,5.91,,
21L101262,4/14/2022,4:00:00,TuleRed_Breach,1.751,93.6,9.53,10439.1,144,7.71,-53.8,12.913,5.91,,
21L101262,4/14/2022,4:15:00,TuleRed_Breach,1.665,93.4,9.51,10422,128.91,7.71,-53.5,12.922,5.9,,
21L101262,4/14/2022,4:30:00,TuleRed_Breach,1.598,93.2,9.47,10431,123.1,7.7,-53.1,12.937,5.9,,
21L101262,4/14/2022,4:45:00,TuleRed_Breach,1.539,92.9,9.45,10437.2,110.07,7.69,-52.6,12.93,5.91,,
21L101262,4/14/2022,5:00:00,TuleRed_Breach,1.473,92.6,9.42,10419.7,108.36,7.68,-52,12.917,5.91,,
21L101262,4/14/2022,5:15:00,TuleRed_Breach,1.415,92.1,9.38,10406,103.51,7.66,-51.1,12.9,5.9,,
21L101262,4/14/2022,5:30:00,TuleRed_Breach,1.347,91.5,9.32,10415.6,107.4,7.64,-49.9,12.881,5.9,,
21L101262,4/14/2022,5:45:00,TuleRed_Breach,1.298,90.5,9.22,10475.6,99.45,7.59,-47.3,12.874,5.91,,
21L101262,4/14/2022,6:00:00,TuleRed_Breach,1.264,89.5,9.11,10587.6,92.04,7.55,-44.9,12.87,5.9,,
21L101262,4/14/2022,6:15:00,TuleRed_Breach,1.225,88.4,8.99,10711.2,89.52,7.51,-42.7,12.863,5.9,,
21L101262,4/14/2022,6:30:00,TuleRed_Breach,1.184,87.7,8.92,10838.4,83.79,7.48,-41.2,12.85,5.9,,
21L101262,4/14/2022,6:45:00,TuleRed_Breach,1.145,86.9,8.84,11020.3,83.61,7.45,-39.5,12.842,5.9,,
21L101262,4/14/2022,7:00:00,TuleRed_Breach,1.112,86.1,8.76,10942.9,80.8,7.43,-38.4,12.828,5.9,,
21L101262,4/14/2022,7:15:00,TuleRed_Breach,1.082,85.4,8.68,11030.2,79.17,7.4,-37,12.82,5.9,,
21L101262,4/14/2022,7:30:00,TuleRed_Breach,1.059,84.7,8.61,11075.8,80.64,7.38,-35.7,12.808,5.91,,
21L101262,4/14/2022,7:45:00,TuleRed_Breach,1.043,83.9,8.54,11120,73.72,7.36,-34.7,12.798,5.9,,
21L101262,4/14/2022,8:00:00,TuleRed_Breach,1.041,83.7,8.51,11128.2,79.16,7.35,-34.1,12.79,5.9,,
21L101262,4/14/2022,8:15:00,TuleRed_Breach,1.053,82.7,8.42,11121.6,71.46,7.35,-33.9,12.778,5.9,,
21L101262,4/14/2022,8:30:00,TuleRed_Breach,1.088,86.2,8.8,11023.7,85.7,7.41,-37.4,12.672,5.9,,
21L101262,4/14/2022,8:45:00,TuleRed_Breach,1.128,89.9,9.24,10698.6,142.49,7.54,-44.7,12.42,5.9,,
21L101262,4/14/2022,9:00:00,TuleRed_Breach,1.196,94.4,9.74,9818.8,196.93,7.72,-54.3,12.379,5.9,,
21L101262,4/14/2022,9:15:00,TuleRed_Breach,1.273,95.1,9.77,9270.7,264.81,7.78,-57.3,12.687,5.9,,
21L101262,4/14/2022,9:30:00,TuleRed_Breach,1.354,95.1,9.72,9271.9,271.74,7.78,-57.5,12.876,5.9,,
21L101262,4/14/2022,9:45:00,TuleRed_Breach,1.446,95,9.69,9112,290.01,7.78,-57.4,13.005,5.9,,
21L101262,4/14/2022,10:00:00,TuleRed_Breach,1.533,95,9.67,9028.1,275.58,7.78,-57.5,13.133,5.9,,
21L101262,4/14/2022,10:15:00,TuleRed_Breach,1.624,95.1,9.67,9013.4,271.82,7.78,-57.6,13.222,5.9,,
21L101262,4/14/2022,10:30:00,TuleRed_Breach,1.706,95.3,9.67,9024.9,265.71,7.78,-57.7,13.286,5.9,,
21L101262,4/14/2022,10:45:00,TuleRed_Breach,1.788,95.4,9.66,9038.9,268.71,7.78,-57.7,13.344,5.9,,
21L101262,4/14/2022,11:00:00,TuleRed_Breach,1.863,95.6,9.68,9132.8,255.29,7.79,-57.8,13.394,5.9,,
21L101262,4/14/2022,11:15:00,TuleRed_Breach,1.935,95.8,9.66,9417.7,251.05,7.78,-57.8,13.489,5.9,,
21L101262,4/14/2022,11:30:00,TuleRed_Breach,1.998,95.9,9.65,9228,257.08,7.78,-57.8,13.581,5.9,,
21L101262,4/14/2022,11:45:00,TuleRed_Breach,2.053,96,9.66,9233.7,243.94,7.79,-57.9,13.651,5.9,,
